Tiempo_s,Torque_Aplicado_Nm,Velocidad_Izq_rad_s,Velocidad_Der_rad_s
0.015675895,0.0,0.05708046075107019,0.0017256604674561731
0.019630838,0.0,0.05538488402331691,0.0017320625026254538
0.029683763,0.0,0.052498479148453514,0.0017402136299200753
0.039632341,0.0,0.07009390409557398,0.0017214020733610398
0.049681634,0.0,0.06567883210162281,0.0017259916486635956
0.059682316,0.0,0.058263720739482744,0.0017312825619261304
0.069683556,0.0,0.04570078183522083,0.0016519903093782078
0.079681025,0.0,0.04453319143167192,0.001651055158762925
0.089709783,0.0,0.08845561912740026,0.0017519133709400572
0.099969309,0.0,0.08797573092100462,0.0017537507866950373
0.110090262,0.0,0.08922824646434142,0.0017574552233845554
0.120350486,0.0,0.09011793561863086,0.0017599275986748828
0.130338944,0.0,0.09250054002168093,0.0017626674967677553
0.140462552,0.0,0.0965536497669538,0.0017644911690257179
0.150534894,0.0,0.10160573158502885,0.0017636028043174082
0.160692376,0.0,0.10681847835271926,0.0017610612011253217
0.170696341,0.0,0.11379313635849418,0.001758575714166319
0.180677256,0.0,0.12102182614220167,0.0017533421643062663
0.190700218,0.0,0.10066175870511802,0.0016747254469657875
0.200688816,0.0,0.10944443696351756,0.001685028639447408
0.210698228,0.0,0.11983696093405988,0.0017335204037751666
0.220764354,0.0,0.13147819180247405,0.0017281774312289883
0.23065978,0.0,0.13572462045198982,0.001762700739378416
0.240653617,0.0,0.12113739086023718,0.0016830584636900302
0.250798527,0.0,0.1368602508950495,0.001738196699935685
0.260650929,0.0,0.14570490900221944,0.0017733490757335206
0.270658385,0.0,0.16108532240860646,0.001754952165957108
0.280740226,0.0,0.14854219962827686,0.0016927989633445288
0.290675044,0.0,0.16546636546438595,0.0017284689339535433
0.300666157,0.0,0.1513130024936613,0.0017069929401058136
0.310648888,0.0,0.17386948851276787,0.00173565983096911
0.320664726,0.0,0.16054448108816874,0.0016847547154922177
0.330721073,0.0,0.1832962931782583,0.0017315239976205916
0.34066099,0.0,0.1735255674974393,0.0017126755896163161
0.350673825,0.0,0.19393710025616862,0.0017661714445034804
0.360715156,0.0,0.1943131729797273,0.0017394720989663236
0.370663593,0.0,0.18713181944789858,0.0016907386965537667
0.380688651,0.0,0.20894175449207938,0.0017611687389665594
0.39071266,0.0,0.2124561589409149,0.0017387101617797156
0.400675486,0.0,0.2108862401611451,0.0017268693274222445
0.410671348,0.0,0.21016085486387934,0.00170151868853609
0.420677408,0.0,0.21045216544764755,0.0016882778876530832
0.430671454,0.0,0.20845557683814578,0.0015887790373752316
0.440679818,0.0,0.1732626933738262,0.0017399298078929933
0.450681268,0.0,0.17231314657653715,0.0017543267179220192
0.460681321,0.0,0.14360651190519205,0.001691522163228907
0.470703794,0.0,0.14903679735154893,0.0017385902029028455
0.480700285,0.0,0.1466971011364846,0.0017626472778527469
0.490688045,0.0,0.12772007894934476,0.00169094174582363
0.500665608,0.0,0.1370262344556737,0.0017317136236376582
0.51071064,0.0,0.1403813137226997,0.0017667469470129893
0.52065398,0.0,0.12585897855620862,0.0016875532387363324
0.530672471,0.0,0.13943973187123013,0.0017345505794765272
0.540677344,0.0,0.14607084534176407,0.0017697049120057656
0.550655745,0.0,0.13398352909733494,0.0016794052864735863
0.560655518,0.0,0.15037364731514233,0.0017351327114254415
0.57068302,0.0,0.1597411259256139,0.0017694550517741965
0.58063034,0.0,0.1502599687433882,0.0016838647792923002
0.590614747,0.0,0.16887738958332427,0.0017321005751600007
0.600710347,0.0,0.18054269422992938,0.0017588395713914306
0.610664931,0.0,0.1737568387461977,0.0017054437767855144
0.620699836,0.0,0.1887088197948321,0.0017623507699352304
0.630617333,0.0,0.18656449549555565,0.001739379271602082
0.640665159,0.0,0.1779704461082195,0.0016872702144952161
0.650732333,0.0,0.19781725503043382,0.0017708836560606477
0.660667151,0.0,0.19874922219196947,0.0017170252155084137
0.67065086,0.0,0.19343210881586742,0.001688080915934453
0.680667954,0.0,0.2169654663147731,0.001767221353432707
0.690677296,0.0,0.22206902165217288,0.0017393135592205624
0.700666593,0.0,0.22162438510510019,0.0017225633800457716
0.710676424,0.0,0.2218675285420192,0.0016982568668291896
0.720693938,0.0,0.22280089762061442,0.0016894167892767872
0.730706004,0.0,0.22662115197069724,0.0016939370049932328
0.740687757,0.0,0.23324234508372518,0.001696447433843
0.750687531,0.0,0.24162014646285643,0.0016961224180232293
0.760699946,0.0,0.25102771649166716,0.0016959603428764554
0.770642098,0.0,0.2614914827241602,0.0016975084385070678
0.780695511,0.0,0.2744433804681563,0.0017150761367528628
0.790667836,0.0,0.2900791063909508,0.0017464857077358542
0.800664536,0.0,0.3893653088282807,0.0018113303409091272
0.810702724,0.0,0.3842082089772075,0.0014171022003318223
0.82065207,0.0,0.41374460909562155,0.0013035025109798147
0.830677057,0.0,0.40969831994577627,0.0012912416701327983
0.840669566,0.0,0.4000086650942494,0.001336550143431571
0.850661727,0.0,0.39734843467292474,0.00141641869003176
0.860661011,0.0,0.38258431293117096,0.0017643134122831625
0.870636967,0.0,0.42839178918701354,0.001893047325363736
0.880709169,0.0,0.4796977941072845,0.001814457941497762
0.890775924,0.0,0.5139836402064051,0.001700646317490338
0.900660104,0.0,0.5083202482694924,-0.000924099940147494
0.910657852,0.0,0.46282454728441325,0.000864559637369984
0.920707006,0.0,0.1512817599919612,-0.0007162249909001966
0.930689178,0.0,0.14142359769011748,0.0010706277409768305
0.94069838,0.0,0.03882428495797943,-0.0007392031344957278
