Tiempo_s,Torque_Nm,Velocidad_rad_s
0.015755983,0.0,-0.007450620355062495
0.01833585,0.0,0.013683125158700073
0.028273914,0.0,0.005207501138378029
0.038379319,0.0,-0.0027418279382459537
0.048263466,0.0,-0.006365594333558017
0.05828555,0.0,-0.009134440690943955
0.068444662,0.0,0.00040068148928021005
0.078271889,0.0,0.0001771888202202858
0.088301795,0.0,0.014131402097553373
0.098372139,0.0,-0.002919718996871698
0.108257474,0.0,0.01090835313306665
0.118298345,0.0,0.006478393194081529
0.128242835,0.0,-0.0037962482045249685
0.13826883,0.0,-0.007957737767271439
0.148257739,0.0,-0.010139720434648138
0.15827654,0.0,-0.010145510093960714
0.16826538,0.0,0.004162367513347323
0.178255756,0.0,0.001786744432690517
0.1882337,0.0,0.013125566051484776
0.198264723,0.0,0.009664571909939813
0.208246299,0.0,-0.002800317720682158
0.218263843,0.0,-0.007912725346987231
0.228301083,0.0,-0.011645963541139732
0.238265897,0.0,-0.010986197959744485
0.248251733,0.0,0.007654270108009616
0.258278775,0.0,0.0023561049693673237
0.268290034,0.0,0.017103762763230498
0.278274473,0.0,0.001621557084756385
0.288244176,0.0,-0.004333695056373418
0.298293707,0.0,-0.01000430906947844
0.308315791,0.0,-0.010218062794338258
0.318225011,0.0,-0.011347049560939262
0.328289698,0.0,0.005326289850961568
0.338278608,0.0,0.006834892089512516
0.348262349,0.0,0.016251510131972752
0.358371734,0.0,0.0009578793074050997
0.368292548,0.0,-0.0018749262673428118
0.378300454,0.0,-0.007960717350198512
0.388447344,0.0,-0.010226840690870605
0.398258507,0.0,-0.006301249736182114
0.408266064,0.0,0.0025403989893259486
0.418377824,0.0,0.010959537409465007
0.428274473,0.0,0.015126106886667757
0.438340766,0.0,0.0030746044134130433
0.448278691,0.0,-0.002633484527452618
0.458270674,0.0,-0.010602409128470287
0.468313081,0.0,-0.010868464074148449
0.478265114,0.0,0.004261974480053509
0.488294043,0.0,0.017836984900385423
0.498285606,0.0,-0.001660896966134107
0.508292744,0.0,-0.0064011547622958385
0.518302116,0.0,-0.00837781626812898
0.528261413,0.0,-0.008864745551584875
0.538263871,0.0,0.008733676779875863
0.548369834,0.0,0.002881485140406214
0.558254261,0.0,0.017163301033640034
0.568238281,0.0,-1.61605317203755e-05
0.578362264,0.0,0.00128373202130941
0.588298931,0.0,-0.007604377119582683
0.598279599,0.0,-0.010297626625184957
0.608356369,0.0,-0.005737293173789439
0.618713132,0.0,0.014674762996678149
0.628967718,0.0,0.005279049156025287
0.639266862,0.0,-0.002591066742966006
0.649308012,0.0,-0.006720973706179488
0.659472363,0.0,-0.00814294638986729
0.669334789,0.0,0.0010294479826754924
0.679344651,0.0,0.0009421426604401435
